stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
322,515073,"PACIFIC COAST HWY + NEPTUNE AV",,33.790959,-118.269346,,,,,,2
323,515071,"PACIFIC COAST HWY + WILMINGTON BL",,33.790675,-118.274554,,,,,,2
324,712013,"WILMINGTON BL + SANDISON ST",,33.792594,-118.274984,,,,,,2
325,712015,"WILMINGTON BL + Q ST",,33.794184,-118.275041,,,,,,2
326,712017,"WILMINGTON BL & MAIN ST + LOMITA BL",,33.799051,-118.275175,,,,,,2
327,712019,"MAIN ST + SEPULVEDA BL",,33.807334,-118.275447,,,,,,2
328,712021,"MAIN ST + 233RD ST",,33.814346,-118.275395,,,,,,2
329,712023,"MAIN ST + 228TH ST",,33.818744,-118.275378,,,,,,2
330,712025,"MAIN ST + 223RD ST",,33.823939,-118.275801,,,,,,2
331,223035,"223RD ST + DOLORES ST",,33.824077,-118.272536,,,,,,2
332,223037,"223RD ST + GRACE AV",,33.824082,-118.267842,,,,,,2
333,732033,"Avalon Bl at 223rd St",,33.824601,-118.263495,,,,,,2
334,732035,"AVALON BL + 220TH ST",,33.827651,-118.263507,,,,,,2
335,215067,"Carson St at Avalon Bl",,33.831795,-118.264140,,,,,,2
336,215065,"CARSON ST + GRACE AV",,33.831777,-118.268394,,,,,,2
337,215063,"CARSON ST + DOLORES ST",,33.831770,-118.272025,,,,,,2
338,215061,"Carson St at Main St",,33.831753,-118.278449,,,,,,2
339,215059,"CARSON ST + MONETA AV",,33.831743,-118.281889,,,,,,2
340,215057,"CARSON ST + FIGUEROA ST",,33.831733,-118.286511,,,,,,2
341,215055,"Carson St at Vermont Av",,33.831722,-118.289828,,,,,,2
342,215047,"CARSON ST + DENKER AV",,33.831639,-118.303678,,,,,,2
343,215045,"Carson St at Western Av",,33.831578,-118.309500,,,,,,2
344,215043,"CARSON ST + CABRILLO AV",,33.831531,-118.314117,,,,,,2
345,215041,"Carson St at Arlington Av",,33.831497,-118.317428,,,,,,2
346,215039,"CARSON ST + MANUEL AV",,33.831478,-118.319828,,,,,,2
347,215037,"CARSON ST + ACACIA AV",,33.831419,-118.326014,,,,,,2
348,215035,"Carson St at Crenshaw Bl",,33.831405,-118.329000,,,,,,2
349,215033,"CARSON ST + FERN AV",,33.831372,-118.331958,,,,,,2
350,215031,"CARSON ST + HICKORY AV",,33.831367,-118.334350,,,,,,2
351,215029,"CARSON ST + MAPLE AV",,33.831319,-118.339756,,,,,,2
352,215027,"CARSON ST + MADRONA AV",,33.831275,-118.344606,,,,,,2
353,215025,"Carson St at Del Amo Circle Bl",,33.831275,-118.347933,,,,,,2
354,562059,"Hawthorne Bl at Carson St",,33.831842,-118.352461,,,,,,2
355,562061,"Hawthorne Bl at Del Amo Circle West",,33.833544,-118.352736,,,,,,2
356,205019,"TORRANCE BL + ANZA AV",,33.837700,-118.362844,,,,,,2
357,205017,"TORRANCE BL + VICTOR ST",,33.837703,-118.366461,,,,,,2
358,205015,"TORRANCE BL + PALOS VERDES BL",,33.837692,-118.369553,,,,,,2
359,205013,"TORRANCE BL + HENRIETTA ST",,33.837706,-118.371331,,,,,,2
360,205011,"TORRANCE BL + PROSPECT AV",,33.838872,-118.376833,,,,,,2
